Locality,Latitude,Longitude
WOODSIDE BEACH,-38.514438,146.836248
WOODSIDE NORTH,-38.514438,146.836248
BASS,-38.483041,145.466781
COWES,-38.482182,145.231974
SILVERLEAVES,-38.482182,145.231974
SMITHS BEACH,-38.482182,145.231974
SUMMERLANDS,-38.482182,145.231974
SUNDERLAND BAY,-38.482182,145.231974
SUNSET STRIP,-38.482182,145.231974
SURF BEACH,-38.482182,145.231974
VENTNOR,-38.482182,145.231974
WIMBLEDON HEIGHTS,-38.482182,145.231974
BIG HILL,-38.47820971,144.0079299
ARAWATA,-38.47372,145.798419
FAIRBANK,-38.47372,145.798419
JUMBUNNA,-38.47372,145.798419
KARDELLA,-38.47372,145.798419
KONGWAK,-38.47372,145.798419
MOYARRA,-38.47372,145.798419
OUTTRIM,-38.47372,145.798419
RANCEBY,-38.47372,145.798419
GRAND RIDGE,-38.47229711,146.3992787
SCOTTS CREEK,-38.466647,143.06073
RHYLL,-38.465552,145.293632
FLINDERS,-38.460965,144.976673
BERRYS CREEK,-38.460127,145.995174
BOOROOL,-38.460127,145.995174
HALLSTON,-38.460127,145.995174
KOOROOMAN,-38.460127,145.995174
LEONGATHA,-38.460127,145.995174
LEONGATHA NORTH,-38.460127,145.995174
LEONGATHA SOUTH,-38.460127,145.995174
MARDAN,-38.460127,145.995174
MOUNT ECCLES,-38.460127,145.995174
MOUNT ECCLES SOUTH,-38.460127,145.995174
NERRENA,-38.460127,145.995174
RUBY,-38.460127,145.995174
TRIDA,-38.460127,145.995174
WILD DOG VALLEY,-38.460127,145.995174
AIREYS INLET,-38.459435,144.106892
EASTERN VIEW,-38.459435,144.106892
FAIRHAVEN,-38.459435,144.106892
MOGGS CREEK,-38.459435,144.106892
GLEN FORBES,-38.455399,145.501279
GERANGAMETE,-38.45296591,143.6947758
ALMURTA,-38.44818,145.591284
GLEN ALVIE,-38.44818,145.591284
KERNOT,-38.44818,145.591284
KORRINE,-38.44818,145.591284
BENA,-38.448155,145.723537
NULLAWARRE NORTH,-38.43795764,142.7964155
BOOLARRA,-38.437946,146.319351
BOOLARRA SOUTH,-38.437946,146.319351
BUDGEREE,-38.437946,146.319351
BUDGEREE EAST,-38.437946,146.319351
JOHNSTONES HILL,-38.437946,146.319351
MIRBOO EAST,-38.437946,146.319351
KARDELLA SOUTH,-38.435217,145.812945
KORUMBURRA,-38.435217,145.812945
KORUMBURRA SOUTH,-38.435217,145.812945
STRZELECKI,-38.435217,145.812945
WHITELAW,-38.435217,145.812945
BOONAH,-38.42875898,143.979689
BONEO,-38.42776,144.900413
CAPE SCHANCK,-38.42776,144.900413
FINGAL,-38.42776,144.900413
ROSEBUD,-38.42776,144.900413
ROSEBUD PLAZA,-38.42776,144.900413
ALLAMBEE RESERVE,-38.42207,146.158866
ALLAMBEE SOUTH,-38.42207,146.158866
DARLIMURLA,-38.42207,146.158866
DELBURN,-38.42207,146.158866
DOLLAR,-38.42207,146.158866
LIMONITE,-38.42207,146.158866
MIRBOO,-38.42207,146.158866
MIRBOO NORTH,-38.42207,146.158866
TARWIN EAST,-38.42207,146.158866
FRENCH ISLAND,-38.419488,145.367079
TANKERTON,-38.419488,145.367079
ELIZABETH ISLAND,-38.41571044,145.3687444
MERRICKS,-38.415199,145.050587
POINT LEO,-38.415199,145.050587
SHOREHAM,-38.415199,145.050587
